epoch,train_loss,train_iou,lr,val_loss,val_iou
1,0.8025539457798004,0.33550187945365906,5.0500000000000076e-05,0.8106557965278626,0.420132040977478
2,0.7253115475177765,0.4710671305656433,1e-06,0.7469549298286438,0.44226565957069397
3,0.6837229698896408,0.5404675602912903,5.050000000000044e-05,0.7164103746414184,0.5103763937950134
4,0.6673951506614685,0.5531262159347534,0.00010000000000000125,0.663536810874939,0.5422078371047974
5,0.6448604255914688,0.5775431394577026,5.049999999999977e-05,0.6584523797035218,0.5459694266319275
6,0.6334947168827056,0.5808692574501038,1e-06,0.6347124457359314,0.6023375391960144
7,0.6197533428668975,0.6055786609649658,5.0499999999999804e-05,0.6209780812263489,0.597848653793335
8,0.6109406739473343,0.6070426106452942,0.00010000000000000013,0.6165648460388183,0.6067578792572021
9,0.6037936568260193,0.6171648502349854,5.050000000000011e-05,0.6217311143875122,0.5840446352958679
10,0.5958424061536789,0.6226592063903809,1e-06,0.6165500283241272,0.5779832005500793
